apps/frappe/frappe/core/page/data_import_tool/exporter.py +231,Info:,Info:
apps/frappe/frappe/core/page/data_import_tool/exporter.py +51,Data Import Template,Data Import Template
apps/frappe/frappe/core/page/data_import_tool/exporter.py +60,Notes:,Notes:
apps/frappe/frappe/core/page/data_import_tool/exporter.py +61,Please do not change the template headings.,Please do not change the template headings.
apps/frappe/frappe/core/page/data_import_tool/exporter.py +62,First data column must be blank.,First data column must be blank.
apps/frappe/frappe/core/page/data_import_tool/exporter.py +63,"If you are uploading new records, leave the ""name"" (ID) column blank.","If you are uploading new records, leave the ""name"" (ID) column blank."
apps/frappe/frappe/core/page/data_import_tool/exporter.py +64,"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
apps/frappe/frappe/core/page/data_import_tool/exporter.py +65,Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.
apps/frappe/frappe/core/page/data_import_tool/exporter.py +66,"For updating, you can update only selective columns.","For updating, you can update only selective columns."
apps/frappe/frappe/core/page/data_import_tool/exporter.py +67,You can only upload upto 5000 records in one go. (may be less in some cases),You can only upload upto 5000 records in one go. (may be less in some cases)
apps/frappe/frappe/core/page/data_import_tool/exporter.py +69,"""Parent"" signifies the parent table in which this row must be added","""Parent"" signifies the parent table in which this row must be added"
apps/frappe/frappe/core/page/data_import_tool/exporter.py +70,"If you are updating, please select ""Overwrite"" else existing rows will not be deleted.","If you are updating, please select ""Overwrite"" else existing rows will not be deleted."
apps/frappe/frappe/core/page/data_import_tool/exporter.py +91,Leave blank for new records,Leave blank for new records
apps/frappe/frappe/core/page/data_import_tool/importer.py +176,Not allowed to Import,Not allowed to Import
apps/frappe/frappe/core/page/data_import_tool/importer.py +261,Did not find {0} for {0} ({1}),Did not find {0} for {0} ({1})
apps/frappe/frappe/core/page/data_import_tool/importer.py +36,Please do not change the rows above {0},Please do not change the rows above {0}
apps/frappe/frappe/core/page/data_import_tool/importer.py +41,No data found,No data found
apps/frappe/frappe/core/page/data_import_tool/importer.py +43,Only allowed {0} rows in one import,Only allowed {0} rows in one import
apps/frappe/frappe/core/page/data_import_tool/importer.py +68,Please make sure that there are no empty columns in the file.,Please make sure that there are no empty columns in the file.
apps/frappe/frappe/core/page/desktop/all_applications_dialog.html +1,Search Application,Search Application
apps/frappe/frappe/core/page/desktop/all_applications_dialog.html +3,Checked items will be shown on desktop,Checked items will be shown on desktop
apps/frappe/frappe/core/page/desktop/desktop.js +48,All Applications,All Applications
apps/frappe/frappe/core/page/modules_setup/modules_setup.js +18,"Select modules to be shown (based on permission). If hidden, they will be hidden for all users.","Select modules to be shown (based on permission). If hidden, they will be hidden for all users."
apps/frappe/frappe/core/page/modules_setup/modules_setup.js +5,Show or Hide Modules,Show or Hide Modules
apps/frappe/frappe/core/page/modules_setup/modules_setup.js +55,There were errors,There were errors
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +10,Permissions are automatically translated to Standard Reports and Searches.,Permissions are automatically translated to Standard Reports and Searches.
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +11,"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User."
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +14,"Meaning of Submit, Cancel, Amend","Meaning of Submit, Cancel, Amend"
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +16,"Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.","Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit."
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +17,"You can change Submitted documents by cancelling them and then, amending them.","You can change Submitted documents by cancelling them and then, amending them."
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +18,"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.","When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number."
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +19,For example if you cancel and amend INV004 it will become a new document INV004-1. This helps you to keep track of each amendment.,For example if you cancel and amend INV004 it will become a new document INV004-1. This helps you to keep track of each amendment.
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +22,Permission Levels,Permission Levels
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +24,"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.","Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document."
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +25,"If a Role does not have access at Level 0, then higher levels are meaningless.","If a Role does not have access at Level 0, then higher levels are meaningless."
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +26,Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +27,You can use Customize Form to set levels on fields.,You can use Customize Form to set levels on fields.
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +3,Quick Help for Setting Permissions,Quick Help for Setting Permissions
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +30,User Permissions,User Permissions
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +32,"To give acess to a role for only specific records, check the Apply User Permissions. User Permissions are used to limit users with such role to specific records.","To give acess to a role for only specific records, check the Apply User Permissions. User Permissions are used to limit users with such role to specific records."
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +33,Setup > User Permissions Manager,Setup > User Permissions Manager
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +34,Select Document Types to set which User Permissions are used to limit access.,Select Document Types to set which User Permissions are used to limit access.
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +35,"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).","Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger)."
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +36,"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.","Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type."
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +38,"If these instructions where not helpful, please add in your suggestions on GitHub Issues.","If these instructions where not helpful, please add in your suggestions on GitHub Issues."
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +39,Submit an Issue,Submit an Issue
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +5,"Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write, Create, Delete, Submit, Cancel, Amend, Report, Import, Export, Print, Email and Set User Permissions.","Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write, Create, Delete, Submit, Cancel, Amend, Report, Import, Export, Print, Email and Set User Permissions."
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +6,Permissions get applied on Users based on what Roles they are assigned.,Permissions get applied on Users based on what Roles they are assigned.
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +7,Roles can be set for users from their User page.,Roles can be set for users from their User page.
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +8,Setup > User,Setup > User
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +9,The system provides many pre-defined roles. You can add new roles to set finer permissions.,The system provides many pre-defined roles. You can add new roles to set finer permissions.
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +9,Add a New Role,Add a New Role
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +140,Select Document Type or Role to start.,Select Document Type or Role to start.
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +162,No Permissions set for this criteria.,No Permissions set for this criteria.
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +249,Select Document Types,Select Document Types
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +250,Show User Permissions,Show User Permissions
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +299,Users with role {0}:,Users with role {0}:
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +323,Did not remove,Did not remove
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +366,Add A New Rule,Add A New Rule
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +370,Add New Permission Rule,Add New Permission Rule
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +378,"Level 0 is for document level permissions, higher levels for field level permissions.","Level 0 is for document level permissions, higher levels for field level permissions."
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +403,Did not add,Did not add
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +421,If {0} is permitted,If {0} is permitted
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +433,Apply Rule,Apply Rule
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +47,Document Types,Document Types
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +474,Did not set,Did not set
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +476,Saved!,Saved!
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +48,Select Document Type,Select Document Type
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +494,Restore Original Permissions,Restore Original Permissions
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +54,Select Role,Select Role
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +95,Reset Permissions for {0}?,Reset Permissions for {0}?
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +127,Upload User Permissions,Upload User Permissions
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +132,Upload CSV file containing all user permissions in the same format as Download.,Upload CSV file containing all user permissions in the same format as Download.
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +133,Any existing permission will be deleted / overwritten.,Any existing permission will be deleted / overwritten.
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +14,Edit Role Permissions,Edit Role Permissions
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +140,Upload and Sync,Upload and Sync
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +149,Permissions Updated,Permissions Updated
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +16,Help for User Permissions,Help for User Permissions
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +19,"Apart from Role based Permission Rules, you can apply User Permissions based on DocTypes.","Apart from Role based Permission Rules, you can apply User Permissions based on DocTypes."
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +194,No User Restrictions found.,No User Restrictions found.
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +217,Select User or DocType to start.,Select User or DocType to start.
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +23,"These permissions will apply for all transactions where the permitted record is linked. For example, if Company C is added to User Permissions of user X, user X will only be able to see transactions that has company C as a linked value.","These permissions will apply for all transactions where the permitted record is linked. For example, if Company C is added to User Permissions of user X, user X will only be able to see transactions that has company C as a linked value."
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +243,These restrictions will apply for Document Types where 'Apply User Permissions' is checked for the permission rule and a field with this value is present.,These restrictions will apply for Document Types where 'Apply User Permissions' is checked for the permission rule and a field with this value is present.
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +246,If Document Type,If Document Type
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +246,Is,Is
